"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest"
"817","PIOJO",81003,2025,60,2800.23943661874,22.0260257331213,0.430203486227481,0.225433226508967,89.2246736640037,0.157606134653135,41.736020488802,0,0,0
"818","POLONUEVO",81004,2025,60,752.352112676268,23.8862984792028,0.425091355904787,0.222869267124301,82.1349451213639,0.126079264081122,41.1619042339409,0,0,0
"819","PONEDERA",81005,2025,60,4644,21.2600699885742,0.424855938575228,0.226863811111217,103.766823770597,0.175328647082053,48.6501640230664,0,0,0
"820","PUERTO COLOMBIA",81006,2025,60,6627.32394366197,22.0320740981039,0.38998179264974,0.231188143026124,78.3880305448782,0.118415134778911,30.1853494222488,0,0,0
"821","REPELON",81007,2025,60,1377.40845070549,22.0719111751858,0.455508804323569,0.232679997554783,78.3392423727982,0.152603718759295,40.3728937916443,0,0,0
"822","SABANAGRANDE",81008,2025,60,876.239436619718,23.1348433697368,0.422291116581455,0.231467052439316,84.7165720045338,0.168935689992663,33.3379418679091,0,0,0
"823","SOLEDAD",81009,2025,60,1806,20.4333087556642,0.429339956355125,0.232629101926669,87.7072696394496,0.194180404129404,20.4,0,0,0
"824","SUAN",81101,2025,60,12059.7746478873,17.6737269183193,0.430628424474933,0.254847909093783,159.907472835975,0.148279841965121,26.7924283066529,0,0,0
"825","TUBARA",81102,2025,60,2322.80281690072,20.8922332496616,0.397592570410597,0.213731308138446,79.1387298078867,0.193972336240685,15.2411909177485,0,0,0
"826","USIACURI",81103,2025,60,9957.74647888047,19.2036353000887,0.439919138183482,0.252765103822065,112.086907584299,0.123752943182745,36.5482799741354,0,0,0
"827","HUANCAVELICA",81104,2025,60,9408.12676056126,22.2912956343708,0.359684424708668,0.206630538800744,88.8283463740889,0.14708390731353,31.2472681873452,0,0,0
"828","ACOBAMBILLA",81105,2025,60,6759.59154929564,22.481807623998,0.38254316827228,0.226816342966616,69.5211847392919,0.20069550493822,2.70009121313469,0,0,0
