"","Name","Code","Year","Month","Population","LST_Day","NDVI","EVI","Precip","AvgRad","SWOccurrence","pland_forest","area_mn_forest","te_forest","enn_mn_forest"
"5405","Gastão Vidigal",3204252,2021,12,6475.62775802712,31.7338794128327,0.535716680634399,0.35156877710051,69.352554578981,0.606834435405456,23.8051445502297,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5406","Gavião Peixoto",3204302,2021,12,9905.56338028227,31.5205219759514,0.652076707557628,0.439543919140279,74.4940775539186,0.744688826525975,8.66994951363386,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5407","General Salgado",3204351,2021,12,16675.0985915476,29.3611132742127,0.609354519991031,0.398251719604212,92.1593480188446,0.469050646056876,51.6276131680667,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5408","Getulina",3204401,2021,12,9930,30.2203822181628,0.711166388498226,0.445407634979951,97.5889707550339,1.01852370507,2.47638297269473,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5409","Glicério",3204500,2021,12,10334.4788732392,27.1705564674641,0.732553195546795,0.465575789247812,88.5727264481642,0.45748489355491,5.94002758770775,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5410","Guaiçara",3204559,2021,12,34917.1690140838,24.6892571735851,0.70648561558409,0.443555224726993,85.7730708243423,0.474282493366034,51.2422656825614,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5411","Guaimbê",3204609,2021,12,20183.1267605605,26.1127516838701,0.679820296280532,0.416357243074594,84.5703682965447,0.476933021512337,11.9068965517241,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5412","Guaíra",3204658,2021,12,7382.29577464788,29.8166092064077,0.576747822041793,0.368536555835372,72.956591336798,0.493010988310199,12.6472036275136,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5413","Guapiaçu",3204708,2021,12,32606.4366197146,29.8516009180325,0.593623930526937,0.379498338499087,71.3321655668765,0.720663264568715,9.97872504505072,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
"5414","Guapiara",3204807,2021,12,8918,28.5453615175894,0.682710233828856,0.488346487752796,90.9299735122368,0.724523431954818,25.0676539009062,20.148771735813,29913.4394366197,10541991.5492387,708.912825259316
